1	Haras de Prépinson — Une vie consacrée aux chevaux	Haras de Prépinson — Ein Leben für Pferde	Haras de Prépinson — Ett liv med hästar	Haras de Prépinson — Een leven voor paarden	Haras de Prépinson — E Liewe fir Päerd
2	Haras de Prépinson, Belgique. Débourrage, formation des jeunes chevaux, élevage, saut d’obstacles et pension de qualité dans les Ardennes belges.	Haras de Prépinson, Belgien. Professionelle Jungpferdeausbildung, Zucht, Springreiten und hochwertige Pferdepension in den belgischen Ardennen.	Haras de Prépinson, Belgien. Professionell unghästutbildning, avel, hoppning och omsorgsfull hästpension i de belgiska Ardennerna.	Haras de Prépinson, België. Professionele opleiding van jonge paarden, fokkerij, springen en hoogwaardige paardenpension in de Belgische Ardennen.	Haras de Prépinson, Belsch. Professionell Ausbildung vu jonke Päerd, Zuucht, Sprangreiden a Päerdspensioun an de belschen Ardennen.
4	Aller au contenu	Zum Inhalt springen	Hoppa till innehållet	Naar de inhoud	Bei den Inhalt sprangen
5	Accueil Prépinson	Prépinson Startseite	Prépinson startsida	Prépinson startpagina	Prépinson Haaptsäit
8	Navigation principale	Hauptnavigation	Huvudmeny	Hoofdnavigatie	Haaptnavigatioun
9	Le haras	Das Gestüt	Stuteriet	De stoeterij	D’Gestitt
10	Notre savoir-faire	Unsere Leistungen	Vår kunskap	Onze expertise	Eist Fachwëssen
11	Chevaux	Pferde	Hästar	Paarden	Päerd
12	Journal	Journal	Journal	Journaal	Journal
13	Maisons	Ferienhäuser	Semesterhus	Vakantiehuizen	Vakanzenhaiser
14	Nous contacter	Kontakt	Kontakta oss	Contact	Kontakt
16	Menu	Menü	Meny	Menu	Menü
17	Navigation mobile	Mobile Navigation	Mobilmeny	Mobiele navigatie	Mobil Navigatioun
18	ORTHO · ARDENNES BELGES	ORTHO · BELGISCHE ARDENNEN	ORTHO · BELGISKA ARDENNERNA	ORTHO · BELGISCHE ARDENNEN	ORTHO · BELSCH ARDENNEN
19	Chevaux dans les pâtures du Haras de Prépinson, en Belgique	Pferde auf den Weiden des Haras de Prépinson in Belgien	Hästar i hagarna på Haras de Prépinson i Belgien	Paarden in de weiden van Haras de Prépinson in België	Päerd op de Wise vum Haras de Prépinson an der Belsch
20	HARAS DE PRÉPINSON · BELGIQUE	HARAS DE PRÉPINSON · BELGIEN	HARAS DE PRÉPINSON · BELGIEN	HARAS DE PRÉPINSON · BELGIË	HARAS DE PRÉPINSON · BELSCH
21	Une vie consacrée	Ein Leben	Ett liv	Een leven	E Liewen
22	aux	für	med	voor	fir
23	chevaux.	Pferde.	hästar.	paarden.	Päerd.
24	Des soins sans compromis.	Fürsorge ohne Kompromisse.	Omsorg utan kompromisser.	Zorg zonder compromissen.	Betreiung ouni Kompromësser.
25	Un potentiel sans limites.	Potenzial ohne Grenzen.	Potential utan gränser.	Potentieel zonder grenzen.	Potenzial ouni Grenzen.
26	Découvrir le haras	Das Gestüt entdecken	Upptäck stuteriet	Ontdek de stoeterij	D’Gestitt entdecken
29	Un instant à Prépinson	Ein Moment in Prépinson	Ett ögonblick på Prépinson	Een moment op Prépinson	E Moment zu Prépinson
30	VOIR LE FILM	FILM ANSEHEN	SE FILMEN	BEKIJK DE FILM	DE FILM KUCKEN
31	ORTHO, ARDENNES BELGES	ORTHO, BELGISCHE ARDENNEN	ORTHO, BELGISKA ARDENNERNA	ORTHO, BELGISCHE ARDENNEN	ORTHO, BELSCH ARDENNEN
32	ÉLEVAGE / FORMATION / SOINS	ZUCHT / AUSBILDUNG / FÜRSORGE	AVEL / UTBILDNING / OMSORG	FOKKERIJ / OPLEIDING / ZORG	ZUUCHT / AUSBILDUNG / BETREIUNG
33	Explorer le haras	Das Gestüt erkunden	Utforska stuteriet	Verken de stoeterij	D’Gestitt entdecken
34	POURSUIVRE LA VISITE	WEITER ENTDECKEN	UTFORSKA MER	ONTDEK MEER	WEIDER ENTDECKEN
36	LE HARAS	DAS GESTÜT	STUTERIET	DE STOETERIJ	D’GESTITT
38	Les chevaux d’abord.	Pferde zuerst.	Hästarna först.	Paarden eerst.	D’Päerd fir d’éischt.
39	Toujours.	Immer.	Alltid.	Altijd.	Ëmmer.
40	Tout commence par l’attention portée à chaque cheval. À Prépinson, nous lui donnons le temps, les soins et l’espace nécessaires pour révéler son potentiel.	Gute Pferdeausbildung beginnt beim einzelnen Tier. In Prépinson geben wir jedem Pferd die Zeit, Aufmerksamkeit und den Raum, die es braucht, um sein Potenzial zu entfalten.	God hästhållning börjar med individen. På Prépinson ger vi varje häst den tid, omsorg och det utrymme den behöver för att utveckla sin potential.	Goed paardenmanagement begint bij het individu. Op Prépinson geven we elk paard de tijd, aandacht en ruimte die het nodig heeft om zijn potentieel te ontwikkelen.	Gutt Päerdsbetreiung fänkt beim eenzele Päerd un. Zu Prépinson gi mir all Päerd déi Zäit, Opmierksamkeet a Plaz, déi et brauch, fir säi Potenzial ze entwéckelen.
41	Un haras privé dans les Ardennes belges, consacré à l’élevage, à la formation des jeunes chevaux et à des soins quotidiens attentifs.	Ein privates Gestüt in den belgischen Ardennen, das sich der Zucht, der Jungpferdeausbildung und einer aufmerksamen täglichen Betreuung widmet.	Ett privat stuteri i de belgiska Ardennerna, med fokus på avel, unghästutbildning och omsorgsfull daglig skötsel.	Een particuliere stoeterij in de Belgische Ardennen, gericht op fokkerij, de opleiding van jonge paarden en aandachtige dagelijkse verzorging.	E privat Gestitt an de belschen Ardennen, dat sech der Zuucht, der Ausbildung vu jonke Päerd an enger opmierksamer deeglecher Betreiung widmet.
42	Entrer dans notre univers équestre	Unsere Pferdewelt entdecken	Upptäck vår hästvärld	Ontdek onze paardenwereld	Eis Päerdswelt entdecken
43	Un moment de complicité entre un cheval et sa soigneuse à Prépinson	Ein vertrauter Moment zwischen Pferd und Betreuerin in Prépinson	Ett ögonblick av tillit mellan häst och skötare på Prépinson	Een vertrouwd moment tussen paard en verzorger op Prépinson	E Moment vu Vertrauen tëscht engem Päerd a senger Betreierin zu Prépinson
44	Tout commence par la confiance.	Alles beginnt mit Vertrauen.	Allt börjar med tillit.	Alles begint met vertrouwen.	Alles fänkt mat Vertrauen un.
45	NOTRE SAVOIR-FAIRE	UNSERE LEISTUNGEN	VÅR KUNSKAP	ONZE EXPERTISE	EIST FACHWËSSEN
46	Les soins au service	Fürsorge für	Omsorgen bakom	De zorg achter	Betreiung fir
47	du potentiel.	das Potenzial.	potentialen.	het potentieel.	d’Potenzial.
48	Des premiers pas au prochain chapitre.	Von den ersten Schritten zum nächsten Kapitel.	Från de första stegen till nästa kapitel.	Van de eerste stappen tot het volgende hoofdstuk.	Vun den éischte Schrëtt bis bei dat nächst Kapitel.
49	Une approche réfléchie, à chaque étape.	Ein durchdachter Ansatz in jeder Phase.	Ett genomtänkt arbetssätt i varje skede.	Een doordachte aanpak in elke fase.	Eng duerchduechten Approche bei all Etapp.
50	Travail d’un jeune cheval en extérieur à Prépinson	Ausbildung eines jungen Pferdes im Freien in Prépinson	Träning av en ung häst utomhus på Prépinson	Training van een jong paard buiten op Prépinson	Ausbildung vun engem jonke Päerd dobaussen zu Prépinson
52	Formation & valorisation	Ausbildung & Entwicklung	Utbildning & utveckling	Training & ontwikkeling	Ausbildung & Entwécklung
53	Une formation patiente et professionnelle des jeunes chevaux. Des bases solides pour leur avenir sportif.	Geduldige, professionelle Jungpferdeausbildung. Ein solides Fundament für die sportliche Zukunft.	Tålmodig och professionell unghästutbildning. En stabil grund för framtiden inom sporten.	Geduldige, professionele opleiding van jonge paarden. Een stevige basis voor een toekomst in de sport.	Gedëlleg a professionell Ausbildung vu jonke Päerd. Eng zolidd Basis fir hir sportlech Zukunft.
54	Soins quotidiens aux chevaux du Haras de Prépinson	Tägliche Pferdepflege im Haras de Prépinson	Daglig hästskötsel på Haras de Prépinson	Dagelijkse paardenverzorging op Haras de Prépinson	Deeglech Päerdsbetreiung am Haras de Prépinson
56	Pension & soins	Pension & Betreuung	Inackordering & omsorg	Pension & verzorging	Pensioun & Betreiung
57	Une attention individuelle, une surveillance quotidienne et de l’espace pour s’épanouir. Un lieu adapté à chaque étape de la vie.	Individuelle Aufmerksamkeit, tägliche Betreuung und Raum zur Entfaltung. Ein Zuhause für jede Lebensphase.	Individuell omsorg, daglig tillsyn och utrymme att trivas. Ett hem för varje skede i livet.	Persoonlijke aandacht, dagelijks toezicht en ruimte om te groeien. Een thuis voor elke levensfase.	Individuell Opmierksamkeet, deeglech Kontroll a Plaz fir sech z’entwéckelen. En Doheem fir all Liewensphas.
58	Chevaux du Haras de Prépinson en Belgique	Pferde des Haras de Prépinson in Belgien	Hästar på Haras de Prépinson i Belgien	Paarden van Haras de Prépinson in België	Päerd vum Haras de Prépinson an der Belsch
60	Élevage & jeunes chevaux	Zucht & Jungpferde	Avel & unghästar	Fokkerij & jonge paarden	Zuucht & jonk Päerd
61	Des débuts réfléchis. Des lignées prometteuses accompagnées d’un travail attentif au quotidien.	Durchdachte Anfänge. Vielversprechende Blutlinien und aufmerksame tägliche Arbeit.	En genomtänkt start. Lovande blodslinjer och omsorgsfullt dagligt arbete.	Een doordachte start. Veelbelovende bloedlijnen en aandachtige dagelijkse begeleiding.	Duerchduechten Ufäng. Villverspriechend Bluttlinnen an opmierksam deeglech Aarbecht.
62	Les installations équestres	Die Reitanlage	Ridanläggningen	De hippische faciliteiten	D’Reitanlag
63	Le manège du Haras de Prépinson	Die Reithalle des Haras de Prépinson	Ridhuset på Haras de Prépinson	De binnenpiste van Haras de Prépinson	D’Reithal vum Haras de Prépinson
64	UN ENVIRONNEMENT ADAPTÉ FAIT TOUTE LA DIFFÉRENCE.	DAS RICHTIGE UMFELD MACHT DEN UNTERSCHIED.	RÄTT MILJÖ GÖR HELA SKILLNADEN.	DE JUISTE OMGEVING MAAKT HET VERSCHIL.	DAT RICHTEGT ËMFELD MÉCHT DEN ËNNERSCHEED.
65	Explorer Prépinson	Prépinson erkunden	Utforska Prépinson	Verken Prépinson	Prépinson entdecken
66	NÉS À PRÉPINSON	GEZÜCHTET IN PRÉPINSON	UPPFÖDDA PÅ PRÉPINSON	GEFOKT OP PRÉPINSON	ZU PRÉPINSON GEZIICHT
67	Le potentiel,	Potenzial	Potential	Potentieel	Potenzial
68	une histoire de lignées.	mit Abstammung.	med härstamning.	met een stamboom.	mat Ofstamung.
69	Une sélection de notre élevage.	Eine Auswahl aus unserer Zucht.	Ett urval ur vår uppfödning.	Een selectie uit onze fokkerij.	Eng Auswiel aus eiser Zuucht.
